year,city,country,avg_temp
1743,Berlin,Germany,6.33
1744,Berlin,Germany,10.36
1745,Berlin,Germany,1.43
1746,Berlin,Germany,
1747,Berlin,Germany,
1748,Berlin,Germany,
1749,Berlin,Germany,
1750,Berlin,Germany,9.83
1751,Berlin,Germany,9.75
1752,Berlin,Germany,4.84
1753,Berlin,Germany,8.72
1754,Berlin,Germany,8.49
1755,Berlin,Germany,8.26
1756,Berlin,Germany,9.62
1757,Berlin,Germany,9.15
1758,Berlin,Germany,8.25
1759,Berlin,Germany,9.04
1760,Berlin,Germany,8.99
1761,Berlin,Germany,9.47
1762,Berlin,Germany,8.53
1763,Berlin,Germany,8.62
1764,Berlin,Germany,8.91
1765,Berlin,Germany,8.54
1766,Berlin,Germany,8.87
1767,Berlin,Germany,8.14
1768,Berlin,Germany,8.03
1769,Berlin,Germany,8.46
1770,Berlin,Germany,8.50
1771,Berlin,Germany,7.45
1772,Berlin,Germany,9.13
1773,Berlin,Germany,9.52
1774,Berlin,Germany,8.46
1775,Berlin,Germany,10.10
1776,Berlin,Germany,8.36
1777,Berlin,Germany,8.29
1778,Berlin,Germany,9.43
1779,Berlin,Germany,10.47
1780,Berlin,Germany,8.78
1781,Berlin,Germany,9.98
1782,Berlin,Germany,8.61
1783,Berlin,Germany,9.76
1784,Berlin,Germany,7.67
1785,Berlin,Germany,7.42
1786,Berlin,Germany,7.68
1787,Berlin,Germany,9.27
1788,Berlin,Germany,8.33
1789,Berlin,Germany,8.99
1790,Berlin,Germany,9.09
1791,Berlin,Germany,9.55
1792,Berlin,Germany,8.90
1793,Berlin,Germany,9.18
1794,Berlin,Germany,10.02
1795,Berlin,Germany,8.87
1796,Berlin,Germany,9.01
1797,Berlin,Germany,10.07
1798,Berlin,Germany,9.33
1799,Berlin,Germany,6.72
1800,Berlin,Germany,8.60
1801,Berlin,Germany,9.61
1802,Berlin,Germany,9.08
1803,Berlin,Germany,8.02
1804,Berlin,Germany,8.36
1805,Berlin,Germany,7.20
1806,Berlin,Germany,9.67
1807,Berlin,Germany,9.42
1808,Berlin,Germany,8.15
1809,Berlin,Germany,8.66
1810,Berlin,Germany,8.46
1811,Berlin,Germany,9.93
1812,Berlin,Germany,7.35
1813,Berlin,Germany,8.66
1814,Berlin,Germany,7.46
1815,Berlin,Germany,8.38
1816,Berlin,Germany,7.75
1817,Berlin,Germany,8.92
1818,Berlin,Germany,9.00
1819,Berlin,Germany,9.43
1820,Berlin,Germany,7.86
1821,Berlin,Germany,9.15
1822,Berlin,Germany,10.05
1823,Berlin,Germany,8.26
1824,Berlin,Germany,9.61
1825,Berlin,Germany,9.32
1826,Berlin,Germany,9.35
1827,Berlin,Germany,8.99
1828,Berlin,Germany,8.94
1829,Berlin,Germany,6.52
1830,Berlin,Germany,8.08
1831,Berlin,Germany,8.93
1832,Berlin,Germany,8.34
1833,Berlin,Germany,8.89
1834,Berlin,Germany,10.40
1835,Berlin,Germany,8.81
1836,Berlin,Germany,8.88
1837,Berlin,Germany,8.12
1838,Berlin,Germany,6.98
1839,Berlin,Germany,8.63
1840,Berlin,Germany,7.74
1841,Berlin,Germany,9.06
1842,Berlin,Germany,8.51
1843,Berlin,Germany,9.18
1844,Berlin,Germany,7.85
1845,Berlin,Germany,7.92
1846,Berlin,Germany,9.84
1847,Berlin,Germany,8.24
1848,Berlin,Germany,8.75
1849,Berlin,Germany,8.03
1850,Berlin,Germany,8.20
1851,Berlin,Germany,8.50
1852,Berlin,Germany,9.54
1853,Berlin,Germany,7.55
1854,Berlin,Germany,8.69
1855,Berlin,Germany,7.07
1856,Berlin,Germany,8.50
1857,Berlin,Germany,9.39
1858,Berlin,Germany,7.97
1859,Berlin,Germany,9.60
1860,Berlin,Germany,8.00
1861,Berlin,Germany,8.87
1862,Berlin,Germany,8.91
1863,Berlin,Germany,9.81
1864,Berlin,Germany,6.99
1865,Berlin,Germany,8.88
1866,Berlin,Germany,9.44
1867,Berlin,Germany,8.41
1868,Berlin,Germany,10.24
1869,Berlin,Germany,9.06
1870,Berlin,Germany,7.57
1871,Berlin,Germany,7.08
1872,Berlin,Germany,9.97
1873,Berlin,Germany,9.27
1874,Berlin,Germany,9.08
1875,Berlin,Germany,8.04
1876,Berlin,Germany,8.64
1877,Berlin,Germany,8.95
1878,Berlin,Germany,9.38
1879,Berlin,Germany,7.46
1880,Berlin,Germany,9.08
1881,Berlin,Germany,7.75
1882,Berlin,Germany,9.28
1883,Berlin,Germany,8.54
1884,Berlin,Germany,9.20
1885,Berlin,Germany,8.47
1886,Berlin,Germany,8.55
1887,Berlin,Germany,7.93
1888,Berlin,Germany,7.61
1889,Berlin,Germany,8.34
1890,Berlin,Germany,8.35
1891,Berlin,Germany,8.48
1892,Berlin,Germany,8.28
1893,Berlin,Germany,8.50
1894,Berlin,Germany,8.96
1895,Berlin,Germany,8.28
1896,Berlin,Germany,8.57
1897,Berlin,Germany,8.69
1898,Berlin,Germany,9.42
1899,Berlin,Germany,8.96
1900,Berlin,Germany,9.16
1901,Berlin,Germany,8.58
1902,Berlin,Germany,7.63
1903,Berlin,Germany,9.28
1904,Berlin,Germany,9.15
1905,Berlin,Germany,8.90
1906,Berlin,Germany,9.31
1907,Berlin,Germany,8.52
1908,Berlin,Germany,8.35
1909,Berlin,Germany,8.16
1910,Berlin,Germany,9.33
1911,Berlin,Germany,9.89
1912,Berlin,Germany,8.49
1913,Berlin,Germany,9.41
1914,Berlin,Germany,9.50
1915,Berlin,Germany,8.56
1916,Berlin,Germany,9.30
1917,Berlin,Germany,8.39
1918,Berlin,Germany,9.42
1919,Berlin,Germany,8.00
1920,Berlin,Germany,9.37
1921,Berlin,Germany,9.78
1922,Berlin,Germany,7.76
1923,Berlin,Germany,8.58
1924,Berlin,Germany,8.30
1925,Berlin,Germany,9.32
1926,Berlin,Germany,9.57
1927,Berlin,Germany,8.72
1928,Berlin,Germany,8.92
1929,Berlin,Germany,7.99
1930,Berlin,Germany,9.48
1931,Berlin,Germany,8.35
1932,Berlin,Germany,9.23
1933,Berlin,Germany,8.32
1934,Berlin,Germany,10.69
1935,Berlin,Germany,9.34
1936,Berlin,Germany,9.30
1937,Berlin,Germany,9.41
1938,Berlin,Germany,9.77
1939,Berlin,Germany,9.32
1940,Berlin,Germany,7.04
1941,Berlin,Germany,7.62
1942,Berlin,Germany,7.80
1943,Berlin,Germany,9.67
1944,Berlin,Germany,9.31
1945,Berlin,Germany,9.64
1946,Berlin,Germany,9.12
1947,Berlin,Germany,8.79
1948,Berlin,Germany,9.96
1949,Berlin,Germany,10.04
1950,Berlin,Germany,9.37
1951,Berlin,Germany,9.72
1952,Berlin,Germany,8.61
1953,Berlin,Germany,10.13
1954,Berlin,Germany,8.41
1955,Berlin,Germany,8.36
1956,Berlin,Germany,7.57
1957,Berlin,Germany,9.46
1958,Berlin,Germany,9.05
1959,Berlin,Germany,9.88
1960,Berlin,Germany,9.22
1961,Berlin,Germany,9.81
1962,Berlin,Germany,8.13
1963,Berlin,Germany,8.12
1964,Berlin,Germany,8.84
1965,Berlin,Germany,8.33
1966,Berlin,Germany,9.34
1967,Berlin,Germany,10.08
1968,Berlin,Germany,9.28
1969,Berlin,Germany,8.43
1970,Berlin,Germany,8.43
1971,Berlin,Germany,9.54
1972,Berlin,Germany,8.88
1973,Berlin,Germany,9.24
1974,Berlin,Germany,9.89
1975,Berlin,Germany,10.08
1976,Berlin,Germany,9.15
1977,Berlin,Germany,9.54
1978,Berlin,Germany,8.86
1979,Berlin,Germany,8.53
1980,Berlin,Germany,8.26
1981,Berlin,Germany,9.18
1982,Berlin,Germany,10.08
1983,Berlin,Germany,10.21
1984,Berlin,Germany,8.94
1985,Berlin,Germany,8.46
1986,Berlin,Germany,8.78
1987,Berlin,Germany,8.09
1988,Berlin,Germany,10.02
1989,Berlin,Germany,10.72
1990,Berlin,Germany,10.71
1991,Berlin,Germany,9.36
1992,Berlin,Germany,10.38
1993,Berlin,Germany,9.34
1994,Berlin,Germany,10.43
1995,Berlin,Germany,9.75
1996,Berlin,Germany,7.88
1997,Berlin,Germany,9.73
1998,Berlin,Germany,10.05
1999,Berlin,Germany,10.58
2000,Berlin,Germany,10.96
2001,Berlin,Germany,9.69
2002,Berlin,Germany,10.26
2003,Berlin,Germany,10.07
2004,Berlin,Germany,9.82
2005,Berlin,Germany,9.92
2006,Berlin,Germany,10.55
2007,Berlin,Germany,10.88
2008,Berlin,Germany,10.66
2009,Berlin,Germany,10.06
2010,Berlin,Germany,8.61
2011,Berlin,Germany,10.56
2012,Berlin,Germany,9.96
2013,Berlin,Germany,10.12
1743,Hamburg,Germany,6.23
1744,Hamburg,Germany,9.63
1745,Hamburg,Germany,1.25
1746,Hamburg,Germany,
1747,Hamburg,Germany,
1748,Hamburg,Germany,
1749,Hamburg,Germany,
1750,Hamburg,Germany,9.31
1751,Hamburg,Germany,8.94
1752,Hamburg,Germany,4.65
1753,Hamburg,Germany,8.12
1754,Hamburg,Germany,7.88
1755,Hamburg,Germany,7.69
1756,Hamburg,Germany,8.64
1757,Hamburg,Germany,8.48
1758,Hamburg,Germany,7.76
1759,Hamburg,Germany,8.69
1760,Hamburg,Germany,8.36
1761,Hamburg,Germany,8.86
1762,Hamburg,Germany,7.81
1763,Hamburg,Germany,7.80
1764,Hamburg,Germany,8.25
1765,Hamburg,Germany,7.91
1766,Hamburg,Germany,8.27
1767,Hamburg,Germany,7.59
1768,Hamburg,Germany,7.64
1769,Hamburg,Germany,7.97
1770,Hamburg,Germany,7.98
1771,Hamburg,Germany,7.10
1772,Hamburg,Germany,8.26
1773,Hamburg,Germany,8.94
1774,Hamburg,Germany,7.76
1775,Hamburg,Germany,9.27
1776,Hamburg,Germany,8.00
1777,Hamburg,Germany,7.79
1778,Hamburg,Germany,8.68
1779,Hamburg,Germany,9.91
1780,Hamburg,Germany,8.27
1781,Hamburg,Germany,9.32
1782,Hamburg,Germany,7.67
1783,Hamburg,Germany,9.08
1784,Hamburg,Germany,6.92
1785,Hamburg,Germany,7.02
1786,Hamburg,Germany,7.06
1787,Hamburg,Germany,8.50
1788,Hamburg,Germany,7.82
1789,Hamburg,Germany,8.29
1790,Hamburg,Germany,8.48
1791,Hamburg,Germany,8.79
1792,Hamburg,Germany,8.32
1793,Hamburg,Germany,8.51
1794,Hamburg,Germany,9.24
1795,Hamburg,Germany,8.04
1796,Hamburg,Germany,8.46
1797,Hamburg,Germany,9.16
1798,Hamburg,Germany,8.83
1799,Hamburg,Germany,6.31
1800,Hamburg,Germany,7.90
1801,Hamburg,Germany,8.80
1802,Hamburg,Germany,8.21
1803,Hamburg,Germany,7.39
1804,Hamburg,Germany,7.79
1805,Hamburg,Germany,6.72
1806,Hamburg,Germany,8.78
1807,Hamburg,Germany,8.44
1808,Hamburg,Germany,7.70
1809,Hamburg,Germany,7.91
1810,Hamburg,Germany,7.76
1811,Hamburg,Germany,9.25
1812,Hamburg,Germany,6.91
1813,Hamburg,Germany,8.16
1814,Hamburg,Germany,6.88
1815,Hamburg,Germany,7.90
1816,Hamburg,Germany,7.06
1817,Hamburg,Germany,8.22
1818,Hamburg,Germany,8.59
1819,Hamburg,Germany,8.87
1820,Hamburg,Germany,7.30
1821,Hamburg,Germany,8.47
1822,Hamburg,Germany,9.50
1823,Hamburg,Germany,7.65
1824,Hamburg,Germany,8.89
1825,Hamburg,Germany,8.85
1826,Hamburg,Germany,9.04
1827,Hamburg,Germany,8.25
1828,Hamburg,Germany,8.52
1829,Hamburg,Germany,6.06
1830,Hamburg,Germany,7.42
1831,Hamburg,Germany,8.74
1832,Hamburg,Germany,7.97
1833,Hamburg,Germany,8.31
1834,Hamburg,Germany,9.79
1835,Hamburg,Germany,8.32
1836,Hamburg,Germany,8.15
1837,Hamburg,Germany,7.61
1838,Hamburg,Germany,6.54
1839,Hamburg,Germany,7.87
1840,Hamburg,Germany,7.29
1841,Hamburg,Germany,8.25
1842,Hamburg,Germany,8.44
1843,Hamburg,Germany,8.49
1844,Hamburg,Germany,7.18
1845,Hamburg,Germany,7.24
1846,Hamburg,Germany,9.45
1847,Hamburg,Germany,7.85
1848,Hamburg,Germany,8.25
1849,Hamburg,Germany,7.50
1850,Hamburg,Germany,7.67
1851,Hamburg,Germany,8.02
1852,Hamburg,Germany,8.84
1853,Hamburg,Germany,6.90
1854,Hamburg,Germany,8.21
1855,Hamburg,Germany,6.38
1856,Hamburg,Germany,7.66
1857,Hamburg,Germany,8.93
1858,Hamburg,Germany,7.72
1859,Hamburg,Germany,9.10
1860,Hamburg,Germany,7.27
1861,Hamburg,Germany,8.36
1862,Hamburg,Germany,8.43
1863,Hamburg,Germany,9.09
1864,Hamburg,Germany,6.75
1865,Hamburg,Germany,8.34
1866,Hamburg,Germany,8.76
1867,Hamburg,Germany,7.69
1868,Hamburg,Germany,9.57
1869,Hamburg,Germany,8.23
1870,Hamburg,Germany,7.25
1871,Hamburg,Germany,6.83
1872,Hamburg,Germany,9.26
1873,Hamburg,Germany,8.61
1874,Hamburg,Germany,8.47
1875,Hamburg,Germany,7.86
1876,Hamburg,Germany,7.99
1877,Hamburg,Germany,8.11
1878,Hamburg,Germany,8.71
1879,Hamburg,Germany,6.61
1880,Hamburg,Germany,8.44
1881,Hamburg,Germany,7.09
1882,Hamburg,Germany,8.73
1883,Hamburg,Germany,8.15
1884,Hamburg,Germany,8.89
1885,Hamburg,Germany,7.78
1886,Hamburg,Germany,7.98
1887,Hamburg,Germany,7.41
1888,Hamburg,Germany,6.95
1889,Hamburg,Germany,7.91
1890,Hamburg,Germany,7.76
1891,Hamburg,Germany,7.79
1892,Hamburg,Germany,7.44
1893,Hamburg,Germany,8.05
1894,Hamburg,Germany,8.52
1895,Hamburg,Germany,7.59
1896,Hamburg,Germany,8.21
1897,Hamburg,Germany,8.14
1898,Hamburg,Germany,8.69
1899,Hamburg,Germany,8.52
1900,Hamburg,Germany,8.53
1901,Hamburg,Germany,8.04
1902,Hamburg,Germany,7.15
1903,Hamburg,Germany,8.67
1904,Hamburg,Germany,8.47
1905,Hamburg,Germany,8.26
1906,Hamburg,Germany,8.73
1907,Hamburg,Germany,7.91
1908,Hamburg,Germany,8.01
1909,Hamburg,Germany,7.52
1910,Hamburg,Germany,8.92
1911,Hamburg,Germany,9.36
1912,Hamburg,Germany,8.14
1913,Hamburg,Germany,8.92
1914,Hamburg,Germany,9.21
1915,Hamburg,Germany,7.78
1916,Hamburg,Germany,8.37
1917,Hamburg,Germany,7.81
1918,Hamburg,Germany,8.60
1919,Hamburg,Germany,7.32
1920,Hamburg,Germany,8.73
1921,Hamburg,Germany,9.21
1922,Hamburg,Germany,7.27
1923,Hamburg,Germany,7.78
1924,Hamburg,Germany,7.75
1925,Hamburg,Germany,8.67
1926,Hamburg,Germany,8.85
1927,Hamburg,Germany,8.13
1928,Hamburg,Germany,8.32
1929,Hamburg,Germany,7.34
1930,Hamburg,Germany,8.94
1931,Hamburg,Germany,7.91
1932,Hamburg,Germany,8.82
1933,Hamburg,Germany,8.31
1934,Hamburg,Germany,9.96
1935,Hamburg,Germany,8.85
1936,Hamburg,Germany,8.70
1937,Hamburg,Germany,8.77
1938,Hamburg,Germany,9.37
1939,Hamburg,Germany,8.87
1940,Hamburg,Germany,6.67
1941,Hamburg,Germany,7.25
1942,Hamburg,Germany,7.14
1943,Hamburg,Germany,9.10
1944,Hamburg,Germany,8.78
1945,Hamburg,Germany,9.25
1946,Hamburg,Germany,8.47
1947,Hamburg,Germany,8.24
1948,Hamburg,Germany,9.35
1949,Hamburg,Germany,9.48
1950,Hamburg,Germany,8.77
1951,Hamburg,Germany,8.91
1952,Hamburg,Germany,7.93
1953,Hamburg,Germany,9.34
1954,Hamburg,Germany,7.98
1955,Hamburg,Germany,7.96
1956,Hamburg,Germany,7.29
1957,Hamburg,Germany,8.92
1958,Hamburg,Germany,8.39
1959,Hamburg,Germany,9.36
1960,Hamburg,Germany,8.63
1961,Hamburg,Germany,9.16
1962,Hamburg,Germany,7.54
1963,Hamburg,Germany,7.30
1964,Hamburg,Germany,8.23
1965,Hamburg,Germany,7.84
1966,Hamburg,Germany,8.46
1967,Hamburg,Germany,9.38
1968,Hamburg,Germany,8.67
1969,Hamburg,Germany,8.09
1970,Hamburg,Germany,7.91
1971,Hamburg,Germany,8.92
1972,Hamburg,Germany,8.30
1973,Hamburg,Germany,8.80
1974,Hamburg,Germany,9.21
1975,Hamburg,Germany,9.44
1976,Hamburg,Germany,8.72
1977,Hamburg,Germany,8.93
1978,Hamburg,Germany,8.27
1979,Hamburg,Germany,7.63
1980,Hamburg,Germany,8.00
1981,Hamburg,Germany,8.40
1982,Hamburg,Germany,9.09
1983,Hamburg,Germany,9.41
1984,Hamburg,Germany,8.44
1985,Hamburg,Germany,7.66
1986,Hamburg,Germany,8.09
1987,Hamburg,Germany,7.55
1988,Hamburg,Germany,9.35
1989,Hamburg,Germany,9.93
1990,Hamburg,Germany,10.08
1991,Hamburg,Germany,8.79
1992,Hamburg,Germany,9.84
1993,Hamburg,Germany,8.57
1994,Hamburg,Germany,9.73
1995,Hamburg,Germany,9.16
1996,Hamburg,Germany,7.42
1997,Hamburg,Germany,9.27
1998,Hamburg,Germany,9.31
1999,Hamburg,Germany,10.02
2000,Hamburg,Germany,10.12
2001,Hamburg,Germany,9.19
2002,Hamburg,Germany,9.86
2003,Hamburg,Germany,9.48
2004,Hamburg,Germany,9.48
2005,Hamburg,Germany,9.58
2006,Hamburg,Germany,10.15
2007,Hamburg,Germany,10.37
2008,Hamburg,Germany,10.04
2009,Hamburg,Germany,9.61
2010,Hamburg,Germany,7.97
2011,Hamburg,Germany,9.73
2012,Hamburg,Germany,9.20
2013,Hamburg,Germany,9.17
1743,Munich,Germany,1.32
1744,Munich,Germany,6.09
1745,Munich,Germany,-2.15
1746,Munich,Germany,
1747,Munich,Germany,
1748,Munich,Germany,
1749,Munich,Germany,
1750,Munich,Germany,5.40
1751,Munich,Germany,5.54
1752,Munich,Germany,0.53
1753,Munich,Germany,4.61
1754,Munich,Germany,4.33
1755,Munich,Germany,4.05
1756,Munich,Germany,4.64
1757,Munich,Germany,4.30
1758,Munich,Germany,3.83
1759,Munich,Germany,4.89
1760,Munich,Germany,5.02
1761,Munich,Germany,4.94
1762,Munich,Germany,4.49
1763,Munich,Germany,4.25
1764,Munich,Germany,4.82
1765,Munich,Germany,4.52
1766,Munich,Germany,4.28
1767,Munich,Germany,3.85
1768,Munich,Germany,3.84
1769,Munich,Germany,4.43
1770,Munich,Germany,4.36
1771,Munich,Germany,4.19
1772,Munich,Germany,5.81
1773,Munich,Germany,4.76
1774,Munich,Germany,4.43
1775,Munich,Germany,5.03
1776,Munich,Germany,4.21
1777,Munich,Germany,4.28
1778,Munich,Germany,5.21
1779,Munich,Germany,5.53
1780,Munich,Germany,4.71
1781,Munich,Germany,5.48
1782,Munich,Germany,3.96
1783,Munich,Germany,5.22
1784,Munich,Germany,3.67
1785,Munich,Germany,3.35
1786,Munich,Germany,3.71
1787,Munich,Germany,4.83
1788,Munich,Germany,4.69
1789,Munich,Germany,4.26
1790,Munich,Germany,4.91
1791,Munich,Germany,5.09
1792,Munich,Germany,4.77
1793,Munich,Germany,5.06
1794,Munich,Germany,5.54
1795,Munich,Germany,4.59
1796,Munich,Germany,4.65
1797,Munich,Germany,5.55
1798,Munich,Germany,4.81
1799,Munich,Germany,3.26
1800,Munich,Germany,5.02
1801,Munich,Germany,5.31
1802,Munich,Germany,5.07
1803,Munich,Germany,4.20
1804,Munich,Germany,4.80
1805,Munich,Germany,3.09
1806,Munich,Germany,5.40
1807,Munich,Germany,5.05
1808,Munich,Germany,3.58
1809,Munich,Germany,4.61
1810,Munich,Germany,4.72
1811,Munich,Germany,5.70
1812,Munich,Germany,3.39
1813,Munich,Germany,3.87
1814,Munich,Germany,3.46
1815,Munich,Germany,4.01
1816,Munich,Germany,2.96
1817,Munich,Germany,4.21
1818,Munich,Germany,4.66
1819,Munich,Germany,4.97
1820,Munich,Germany,3.88
1821,Munich,Germany,4.59
1822,Munich,Germany,5.85
1823,Munich,Germany,4.22
1824,Munich,Germany,4.89
1825,Munich,Germany,5.07
1826,Munich,Germany,4.81
1827,Munich,Germany,4.71
1828,Munich,Germany,5.02
1829,Munich,Germany,2.79
1830,Munich,Germany,3.90
1831,Munich,Germany,4.82
1832,Munich,Germany,4.25
1833,Munich,Germany,4.45
1834,Munich,Germany,5.72
1835,Munich,Germany,4.07
1836,Munich,Germany,4.40
1837,Munich,Germany,3.68
1838,Munich,Germany,3.29
1839,Munich,Germany,4.66
1840,Munich,Germany,3.66
1841,Munich,Germany,5.16
1842,Munich,Germany,4.09
1843,Munich,Germany,4.48
1844,Munich,Germany,4.03
1845,Munich,Germany,3.73
1846,Munich,Germany,5.54
1847,Munich,Germany,3.90
1848,Munich,Germany,4.61
1849,Munich,Germany,4.37
1850,Munich,Germany,3.84
1851,Munich,Germany,3.66
1852,Munich,Germany,5.02
1853,Munich,Germany,3.69
1854,Munich,Germany,4.08
1855,Munich,Germany,3.52
1856,Munich,Germany,4.30
1857,Munich,Germany,4.41
1858,Munich,Germany,3.63
1859,Munich,Germany,5.07
1860,Munich,Germany,3.41
1861,Munich,Germany,4.62
1862,Munich,Germany,5.39
1863,Munich,Germany,5.35
1864,Munich,Germany,3.26
1865,Munich,Germany,4.75
1866,Munich,Germany,5.01
1867,Munich,Germany,4.44
1868,Munich,Germany,5.54
1869,Munich,Germany,4.69
1870,Munich,Germany,3.57
1871,Munich,Germany,3.53
1872,Munich,Germany,5.51
1873,Munich,Germany,4.77
1874,Munich,Germany,4.18
1875,Munich,Germany,3.96
1876,Munich,Germany,4.64
1877,Munich,Germany,4.79
1878,Munich,Germany,4.26
1879,Munich,Germany,3.53
1880,Munich,Germany,4.74
1881,Munich,Germany,4.24
1882,Munich,Germany,4.58
1883,Munich,Germany,4.16
1884,Munich,Germany,4.67
1885,Munich,Germany,4.47
1886,Munich,Germany,4.61
1887,Munich,Germany,3.41
1888,Munich,Germany,3.69
1889,Munich,Germany,3.72
1890,Munich,Germany,3.67
1891,Munich,Germany,3.70
1892,Munich,Germany,4.45
1893,Munich,Germany,4.44
1894,Munich,Germany,4.52
1895,Munich,Germany,4.00
1896,Munich,Germany,3.84
1897,Munich,Germany,4.67
1898,Munich,Germany,5.13
1899,Munich,Germany,4.72
1900,Munich,Germany,5.00
1901,Munich,Germany,4.01
1902,Munich,Germany,4.24
1903,Munich,Germany,4.57
1904,Munich,Germany,5.07
1905,Munich,Germany,4.31
1906,Munich,Germany,4.48
1907,Munich,Germany,4.38
1908,Munich,Germany,3.98
1909,Munich,Germany,3.75
1910,Munich,Germany,4.47
1911,Munich,Germany,5.22
1912,Munich,Germany,4.13
1913,Munich,Germany,4.66
1914,Munich,Germany,4.43
1915,Munich,Germany,4.39
1916,Munich,Germany,4.90
1917,Munich,Germany,3.91
1918,Munich,Germany,4.75
1919,Munich,Germany,3.85
1920,Munich,Germany,5.29
1921,Munich,Germany,5.48
1922,Munich,Germany,3.93
1923,Munich,Germany,4.88
1924,Munich,Germany,4.11
1925,Munich,Germany,4.42
1926,Munich,Germany,5.11
1927,Munich,Germany,4.86
1928,Munich,Germany,5.19
1929,Munich,Germany,4.13
1930,Munich,Germany,5.24
1931,Munich,Germany,3.88
1932,Munich,Germany,4.61
1933,Munich,Germany,3.88
1934,Munich,Germany,5.59
1935,Munich,Germany,4.57
1936,Munich,Germany,4.88
1937,Munich,Germany,5.20
1938,Munich,Germany,4.82
1939,Munich,Germany,4.49
1940,Munich,Germany,3.45
1941,Munich,Germany,3.80
1942,Munich,Germany,4.28
1943,Munich,Germany,5.56
1944,Munich,Germany,4.28
1945,Munich,Germany,5.20
1946,Munich,Germany,5.14
1947,Munich,Germany,5.51
1948,Munich,Germany,5.49
1949,Munich,Germany,5.55
1950,Munich,Germany,5.44
1951,Munich,Germany,5.29
1952,Munich,Germany,4.67
1953,Munich,Germany,5.22
1954,Munich,Germany,4.27
1955,Munich,Germany,4.39
1956,Munich,Germany,3.58
1957,Munich,Germany,5.11
1958,Munich,Germany,4.93
1959,Munich,Germany,5.51
1960,Munich,Germany,4.97
1961,Munich,Germany,5.85
1962,Munich,Germany,3.94
1963,Munich,Germany,3.99
1964,Munich,Germany,4.92
1965,Munich,Germany,4.08
1966,Munich,Germany,5.10
1967,Munich,Germany,5.18
1968,Munich,Germany,4.68
1969,Munich,Germany,4.42
1970,Munich,Germany,4.41
1971,Munich,Germany,4.86
1972,Munich,Germany,4.69
1973,Munich,Germany,4.57
1974,Munich,Germany,5.23
1975,Munich,Germany,5.20
1976,Munich,Germany,4.95
1977,Munich,Germany,5.32
1978,Munich,Germany,4.32
1979,Munich,Germany,4.87
1980,Munich,Germany,4.19
1981,Munich,Germany,4.82
1982,Munich,Germany,5.51
1983,Munich,Germany,5.60
1984,Munich,Germany,4.43
1985,Munich,Germany,4.52
1986,Munich,Germany,4.85
1987,Munich,Germany,4.69
1988,Munich,Germany,5.64
1989,Munich,Germany,5.88
1990,Munich,Germany,5.92
1991,Munich,Germany,4.93
1992,Munich,Germany,5.91
1993,Munich,Germany,5.33
1994,Munich,Germany,6.64
1995,Munich,Germany,5.33
1996,Munich,Germany,4.49
1997,Munich,Germany,5.79
1998,Munich,Germany,5.66
1999,Munich,Germany,5.55
2000,Munich,Germany,6.33
2001,Munich,Germany,5.59
2002,Munich,Germany,6.26
2003,Munich,Germany,6.12
2004,Munich,Germany,5.43
2005,Munich,Germany,5.01
2006,Munich,Germany,5.94
2007,Munich,Germany,6.28
2008,Munich,Germany,5.94
2009,Munich,Germany,5.89
2010,Munich,Germany,4.85
2011,Munich,Germany,6.56
2012,Munich,Germany,5.88
2013,Munich,Germany,6.00
